유형,음료명,사이즈,유제품,칼로리 (kcal),당류 (g),단백질 (g),나트륨 (mg),포화지방 (g),카페인 (mg),추천 점수
기타 제조 음료,아이스 시그니처 초콜릿,Grande,O,405.0,33.0,12.0,135.0,18.0,20.0,0
기타 제조 음료,아이스 시그니처 초콜릿,Venti,O,445.0,38.0,13.0,145.0,19.0,25.0,0
기타 제조 음료,스팀 우유,Short,O,95.0,8.0,6.0,78.0,3.5,0.0,0
기타 제조 음료,스팀 우유,Tall,O,215.0,18.0,13.0,173.0,7.0,0.0,0
기타 제조 음료,우유,Short,O,105.0,8.0,6.0,87.0,3.5,0.0,0
기타 제조 음료,우유,Tall,O,240.0,18.0,12.0,200.0,8.0,0.0,0
스타벅스 주스(병음료),수박 주스 190ML,One Size,X,100.0,20.0,1.0,15.0,0.0,0.0,0
스타벅스 주스(병음료),스퀴즈드 오렌지 주스 100ML,One Size,X,50.0,9.0,1.0,0.0,0.0,0.0,0
스타벅스 주스(병음료),딸기주스 190ML,One Size,X,110.0,25.0,0.0,30.0,0.0,0.0,0
스타벅스 주스(병음료),유기농 오렌지 100% 주스 190ML,One Size,X,95.0,20.0,2.0,5.0,0.0,0.0,0
스타벅스 주스(병음료),유기농 오렌지 100% 주스 591ML,One Size,X,290.0,62.0,6.0,10.0,0.6,0.0,0
스타벅스 주스(병음료),망고주스 190ML,One Size,X,117.0,23.0,1.0,15.0,0.0,0.0,0
스타벅스 주스(병음료),ABC 클렌즈 190ML,One Size,X,90.0,16.0,1.0,45.0,0.1,0.0,0
스타벅스 주스(병음료),레몬 진저 클렌즈 190ML,One Size,X,100.0,16.0,1.0,0.0,0.1,0.0,0
스타벅스 주스(병음료),케일 클렌즈 190ML,One Size,X,90.0,15.0,1.0,15.0,0.2,0.0,0
스타벅스 주스(병음료),케일&사과주스 190ML,One Size,X,105.0,26.0,0.0,25.0,0.0,0.0,0
스타벅스 주스(병음료),한라봉주스 190ML,One Size,X,88.0,20.0,1.0,10.0,0.0,0.0,0
스타벅스 주스(병음료),햇사과 주스 190ML,One Size,X,113.0,27.0,0.2,10.0,0.0,0.0,0
스타벅스 주스(병음료),햇사과 주스 591ML,One Size,X,360.0,84.0,1.3,20.0,0.0,0.0,0
스타벅스 주스(병음료),딸기 가득 요거트 190ML,One Size,X,155.0,21.0,4.0,50.0,3.2,0.0,0
스타벅스 주스(병음료),블루베리 요거트 190ML,One Size,X,155.0,18.0,5.0,70.0,3.6,0.0,0
